Neighbourhood,Without after-tax income,With after-tax income,"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 69,999","70,000 to 79,999","80,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",0 to 17 years,18 to 64 years,65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",Not in the labour force,In the labour force,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,Employee,Self-employed
Agincourt North,0.0546,0.9454,0.2210,0.2739,0.1669,0.1176,0.0848,0.0516,0.0315,0.0222,0.0305,21.3000,0.2272,0.5692,0.2036,17.5000,0.4453,0.5547,55.4000,50.0000,9.8000,0.0389,0.8659,0.0952
Agincourt South-Malvern West,0.0542,0.9458,0.2379,0.2405,0.1594,0.1176,0.0863,0.0596,0.0360,0.0259,0.0368,22.6000,0.2124,0.6588,0.1288,18.7000,0.4093,0.5907,59.0000,53.2000,9.8000,0.0390,0.8461,0.1149
Alderwood,0.0327,0.9673,0.1403,0.1574,0.1600,0.1333,0.1177,0.0936,0.0629,0.0513,0.0835,8.2000,0.1980,0.6396,0.1624,7.1000,0.3351,0.6649,66.5000,62.4000,6.1000,0.0190,0.8653,0.1157
Annex,0.0236,0.9764,0.1556,0.1476,0.1151,0.1009,0.0923,0.0752,0.0635,0.0473,0.2025,18.3000,0.0791,0.8036,0.1173,18.9000,0.2943,0.7057,70.6000,65.8000,6.7000,0.0197,0.7990,0.1814
Banbury-Don Mills,0.0427,0.9573,0.1483,0.1459,0.1217,0.1094,0.1054,0.0851,0.0692,0.0507,0.1642,13.7000,0.1951,0.6165,0.1883,11.2000,0.4007,0.5993,59.9000,55.6000,7.2000,0.0292,0.7882,0.1825
Bathurst Manor,0.0441,0.9559,0.1703,0.2026,0.1600,0.1218,0.0946,0.0706,0.0532,0.0371,0.0899,17.0000,0.2057,0.5717,0.2226,14.2000,0.3499,0.6501,65.0000,60.3000,7.2000,0.0278,0.8283,0.1439
Bay Street Corridor,0.0436,0.9564,0.3095,0.1307,0.0952,0.0858,0.0755,0.0683,0.0674,0.0491,0.1185,37.7000,0.0812,0.8769,0.0419,36.1000,0.3737,0.6263,62.7000,56.2000,10.2000,0.0430,0.8353,0.1217
Bayview Village,0.0521,0.9479,0.2190,0.1579,0.1213,0.1016,0.0957,0.0788,0.0625,0.0484,0.1146,23.7000,0.1753,0.7281,0.0966,20.4000,0.3655,0.6345,63.4000,58.5000,7.7000,0.0345,0.8157,0.1498
Bayview Woods-Steeles,0.0511,0.9489,0.2096,0.1878,0.1348,0.1026,0.0866,0.0691,0.0549,0.0430,0.1116,18.4000,0.2291,0.6317,0.1392,15.4000,0.4432,0.5568,55.7000,51.3000,8.0000,0.0371,0.7784,0.1845
Bedford Park-Nortown,0.0471,0.9529,0.1403,0.1210,0.1160,0.0925,0.0764,0.0636,0.0529,0.0458,0.2916,9.4000,0.2281,0.6037,0.1682,8.3000,0.3620,0.6380,63.8000,60.3000,5.5000,0.0127,0.7609,0.2264
Beechborough-Greenbrook,0.0590,0.9410,0.1721,0.2439,0.1943,0.1498,0.1032,0.0557,0.0364,0.0192,0.0253,28.0000,0.3118,0.5927,0.0955,21.9000,0.4059,0.5941,59.5000,52.7000,11.4000,0.0400,0.8736,0.0864
Bendale,0.0579,0.9421,0.2233,0.2080,0.1610,0.1360,0.1001,0.0680,0.0416,0.0274,0.0345,23.4000,0.2533,0.6307,0.1160,19.4000,0.4200,0.5800,58.0000,52.9000,8.8000,0.0406,0.8743,0.0851
Birchcliffe-Cliffside,0.0425,0.9575,0.1589,0.1675,0.1422,0.1146,0.1046,0.0862,0.0594,0.0509,0.1157,14.5000,0.2092,0.6688,0.1220,12.9000,0.3462,0.6538,65.4000,59.6000,8.8000,0.0321,0.8454,0.1225
Black Creek,0.0672,0.9328,0.2197,0.2784,0.1937,0.1501,0.0847,0.0386,0.0183,0.0095,0.0070,33.0000,0.3610,0.5341,0.1049,25.9000,0.4515,0.5485,54.8000,47.8000,12.7000,0.0597,0.8677,0.0726
Blake-Jones,0.0485,0.9515,0.1757,0.2243,0.1255,0.0962,0.0778,0.0720,0.0569,0.0435,0.1280,24.5000,0.2500,0.6011,0.1489,21.1000,0.3503,0.6497,65.0000,59.6000,8.5000,0.0306,0.8225,0.1469
Briar Hill-Belgravia,0.0469,0.9531,0.1678,0.2141,0.1971,0.1474,0.1045,0.0633,0.0416,0.0259,0.0382,17.0000,0.1909,0.6577,0.1515,14.8000,0.3242,0.6758,67.6000,61.8000,8.7000,0.0311,0.8695,0.0993
Bridle Path-Sunnybrook-York Mills,0.0574,0.9426,0.1750,0.0902,0.0779,0.0567,0.0581,0.0567,0.0540,0.0513,0.3800,8.8000,0.2795,0.6460,0.0745,8.4000,0.4170,0.5830,58.3000,53.6000,8.0000,0.0221,0.6667,0.3112
Broadview North,0.0339,0.9661,0.1499,0.2060,0.1693,0.1305,0.1090,0.0687,0.0503,0.0377,0.0786,22.6000,0.1855,0.6641,0.1504,18.5000,0.3342,0.6658,67.0000,61.0000,8.2000,0.0296,0.8450,0.1254
Brookhaven-Amesbury,0.0600,0.9400,0.1888,0.2289,0.1984,0.1487,0.1024,0.0571,0.0326,0.0208,0.0223,24.7000,0.3307,0.5892,0.0801,19.3000,0.3653,0.6347,64.0000,57.0000,10.0000,0.0385,0.8819,0.0797
Cabbagetown-South St. James Town,0.0216,0.9784,0.1273,0.1909,0.1258,0.1087,0.0997,0.0817,0.0606,0.0511,0.1543,20.8000,0.0833,0.6754,0.2412,20.2000,0.2868,0.7132,71.0000,66.0000,8.0000,0.0206,0.8349,0.1444
Caledonia-Fairbank,0.0469,0.9531,0.1731,0.1949,0.1912,0.1501,0.1096,0.0778,0.0498,0.0243,0.0293,14.2000,0.2305,0.6383,0.1312,12.1000,0.3412,0.6588,66.0000,61.0000,7.2000,0.0261,0.8793,0.0946
Casa Loma,0.0276,0.9724,0.1298,0.1159,0.1078,0.0960,0.0864,0.0773,0.0622,0.0531,0.2715,12.5000,0.1333,0.7000,0.1667,11.7000,0.3280,0.6720,67.0000,63.0000,6.6000,0.0162,0.7697,0.2141
Centennial Scarborough,0.0505,0.9495,0.1586,0.1431,0.1186,0.1054,0.1096,0.0922,0.0772,0.0631,0.1322,6.2000,0.3030,0.6000,0.0970,5.3000,0.3582,0.6418,64.0000,59.0000,7.6000,0.0314,0.8662,0.1024
Church-Yonge Corridor,0.0242,0.9758,0.1746,0.1596,0.1147,0.1106,0.1073,0.0914,0.0726,0.0528,0.1164,26.0000,0.0584,0.8648,0.0768,25.8000,0.2488,0.7512,75.0000,69.0000,9.0000,0.0286,0.8646,0.1068
Clairlea-Birchmount,0.0584,0.9416,0.1880,0.2034,0.1663,0.1314,0.1089,0.0755,0.0493,0.0354,0.0418,19.5000,0.3126,0.6144,0.0730,16.2000,0.3471,0.6529,65.0000,60.0000,9.0000,0.0356,0.8796,0.0848
Clanton Park,0.0458,0.9542,0.1530,0.1825,0.1633,0.1346,0.0886,0.0732,0.0521,0.0414,0.1112,14.9000,0.1976,0.6008,0.2016,12.8000,0.3208,0.6792,68.0000,64.0000,6.1000,0.0216,0.8295,0.1489
Cliffcrest,0.0544,0.9456,0.1741,0.1960,0.1525,0.1146,0.1010,0.0774,0.0527,0.0435,0.0882,17.9000,0.2761,0.5469,0.1770,14.3000,0.3809,0.6191,62.0000,56.0000,9.7000,0.0384,0.8391,0.1225
Corso Italia-Davenport,0.0415,0.9585,0.1621,0.1925,0.1810,0.1269,0.1012,0.0802,0.0579,0.0343,0.0639,13.4000,0.1698,0.6923,0.1379,13.2000,0.3189,0.6811,68.0000,63.0000,7.2000,0.0247,0.8657,0.1096
Danforth,0.0327,0.9673,0.1475,0.2021,0.1410,0.0936,0.0832,0.0682,0.0643,0.0565,0.1436,14.2000,0.1328,0.5609,0.3063,13.5000,0.3155,0.6845,69.0000,64.0000,6.2000,0.0183,0.8532,0.1284
Danforth-East York,0.0352,0.9648,0.1382,0.1809,0.1382,0.1061,0.1024,0.0814,0.0663,0.0619,0.1245,13.6000,0.2103,0.5837,0.2060,11.2000,0.3300,0.6700,67.0000,62.0000,6.9000,0.0175,0.8496,0.1328
Don Valley Village,0.0543,0.9457,0.2305,0.2001,0.1493,0.1184,0.0942,0.0641,0.0481,0.0339,0.0615,23.5000,0.2365,0.6579,0.1056,19.7000,0.3903,0.6097,61.0000,55.0000,10.0000,0.0414,0.8328,0.1258
Dorset Park,0.0581,0.9419,0.1966,0.2269,0.1852,0.1509,0.1026,0.0573,0.0354,0.0208,0.0243,22.3000,0.2969,0.5938,0.1094,17.0000,0.3680,0.6320,63.0000,57.0000,10.0000,0.0409,0.8794,0.0798
Dovercourt-Wallace Emerson,0.0333,0.9667,0.1579,0.2175,0.1740,0.1265,0.0993,0.0742,0.0521,0.0387,0.0598,17.1000,0.1612,0.7051,0.1338,17.0000,0.2967,0.7033,70.0000,65.0000,7.0000,0.0213,0.8540,0.1247
Downsview-Roding-CFB,0.0512,0.9488,0.1658,0.2187,0.2050,0.1532,0.1066,0.0626,0.0383,0.0220,0.0278,19.4000,0.2884,0.6042,0.1075,15.9000,0.3832,0.6168,62.0000,57.0000,8.0000,0.0269,0.8925,0.0807
Dufferin Grove,0.0288,0.9712,0.1521,0.2079,0.1679,0.1407,0.1017,0.0770,0.0573,0.0311,0.0642,18.0000,0.1432,0.7184,0.1384,18.1000,0.2753,0.7247,72.0000,67.0000,7.5000,0.0159,0.8439,0.1402
East End-Danforth,0.0439,0.9561,0.1632,0.1805,0.1293,0.1015,0.0915,0.0784,0.0627,0.0594,0.1336,18.8000,0.2000,0.6481,0.1519,16.6000,0.2990,0.7010,70.0000,64.0000,8.2000,0.0314,0.8288,0.1399
Edenbridge-Humber Valley,0.0383,0.9617,0.1443,0.1431,0.1359,0.1184,0.1045,0.0783,0.0529,0.0465,0.1761,10.5000,0.2075,0.6321,0.1604,8.2000,0.3558,0.6442,64.0000,61.0000,6.1000,0.0172,0.8049,0.1779
Eglinton East,0.0620,0.9380,0.1976,0.2354,0.1947,0.1513,0.1009,0.0555,0.0298,0.0153,0.0195,26.0000,0.3403,0.5766,0.0831,20.4000,0.4086,0.5914,59.0000,53.0000,11.0000,0.0533,0.8821,0.0645
Elms-Old Rexdale,0.0622,0.9378,0.2054,0.2166,0.1852,0.1435,0.1017,0.0620,0.0376,0.0223,0.0258,23.2000,0.3645,0.5535,0.0820,17.9000,0.3933,0.6067,61.0000,55.0000,10.0000,0.0442,0.8825,0.0733
Englemount-Lawrence,0.0591,0.9409,0.1703,0.2039,0.1809,0.1271,0.0960,0.0581,0.0420,0.0289,0.0929,21.3000,0.2987,0.5236,0.1777,17.8000,0.3704,0.6296,63.0000,57.0000,8.9000,0.0339,0.8252,0.1409
Eringate-Centennial-West Deane,0.0428,0.9572,0.1515,0.1623,0.1436,0.1245,0.1157,0.0953,0.0674,0.0523,0.0874,9.7000,0.2758,0.5794,0.1448,7.5000,0.3645,0.6355,64.0000,59.0000,7.4000,0.0252,0.8564,0.1183
Etobicoke West Mall,0.0496,0.9504,0.1734,0.1917,0.1707,0.1395,0.1125,0.0824,0.0528,0.0350,0.0420,18.3000,0.2833,0.6143,0.1024,14.7000,0.3432,0.6568,66.0000,61.0000,7.9000,0.0311,0.8677,0.1012
Flemingdon Park,0.0761,0.9239,0.2266,0.2596,0.1883,0.1267,0.0814,0.0490,0.0287,0.0163,0.0234,34.7000,0.3388,0.5546,0.1066,27.2000,0.4348,0.5652,57.0000,51.0000,11.0000,0.0509,0.8453,0.1038
Forest Hill North,0.0386,0.9614,0.1519,0.1578,0.1450,0.1098,0.0911,0.0710,0.0524,0.0402,0.1808,15.5000,0.1990,0.6454,0.1556,13.3000,0.2909,0.7091,71.0000,66.0000,7.4000,0.0219,0.7835,0.1946
Forest Hill South,0.0275,0.9725,0.1255,0.1049,0.1077,0.0977,0.0866,0.0755,0.0611,0.0466,0.2943,10.7000,0.1674,0.6564,0.1762,9.8000,0.3421,0.6579,66.0000,62.0000,5.6000,0.0131,0.7353,0.2516
Glenfield-Jane Heights,0.0622,0.9378,0.1948,0.2622,0.2090,0.1491,0.0934,0.0467,0.0234,0.0114,0.0100,25.7000,0.3704,0.5145,0.1151,20.9000,0.4497,0.5503,55.0000,49.0000,12.0000,0.0520,0.8789,0.0691
Greenwood-Coxwell,0.0373,0.9627,0.1633,0.2038,0.1381,0.1058,0.0884,0.0784,0.0627,0.0544,0.1050,19.7000,0.2063,0.6420,0.1517,17.6000,0.3080,0.6920,69.0000,64.0000,7.2000,0.0261,0.8454,0.1286
Guildwood,0.0401,0.9599,0.1353,0.1446,0.1353,0.1228,0.1203,0.0879,0.0748,0.0630,0.1160,7.7000,0.2055,0.6164,0.1781,6.7000,0.4053,0.5947,60.0000,55.0000,7.9000,0.0271,0.8495,0.1234
Henry Farm,0.0666,0.9334,0.2599,0.1865,0.1395,0.1127,0.0945,0.0693,0.0531,0.0324,0.0519,29.6000,0.2196,0.7147,0.0657,25.4000,0.3484,0.6516,65.0000,59.0000,10.3000,0.0371,0.8752,0.0876
High Park North,0.0369,0.9631,0.1465,0.1525,0.1255,0.1181,0.1042,0.0875,0.0697,0.0547,0.1413,16.5000,0.1326,0.7141,0.1533,15.1000,0.2774,0.7226,72.0000,67.0000,7.1000,0.0197,0.8451,0.1353
High Park-Swansea,0.0321,0.9679,0.1288,0.1270,0.1228,0.1095,0.1061,0.0884,0.0741,0.0568,0.1864,11.1000,0.1885,0.6635,0.1481,10.4000,0.2670,0.7330,73.0000,69.0000,6.0000,0.0151,0.8207,0.1641
