Neighbourhood,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without after-tax income,  With after-tax income,  Percentage with after-tax income,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without employment income,  With employment income,  Percentage with employment income,"    Under $5,000 (including loss)","    $5,000 to $9,999","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over","      $80,000 to $89,999","      $90,000 to $99,999","      $100,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","In low income based on the Low-income measure, after tax (LIM-AT)",0 to 17 years,0 to 5 years,  18 to 64 years,  65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",  0 to 17 years (%),    0 to 5 years (%),  18 to 64 years (%),  65 years and over (%),  Not in the labour force,  In the labour force,    Employed,    Unemployed,Participation rate,Employment rate,Unemployment rate,  Did not work,  Worked,"    Worked full year, full time",    Worked part year and/or part time,Total labour force aged 15 years and over by class of worker - 25% sample data,  Class of worker - not applicable,  All classes of workers,    Employee,    Self-employed
City of Toronto,"2,294,790","107,450","2,187,340",95.3,"395,780","425,580","330,405","261,435","213,815","154,925","112,495","84,300","208,615","2,294,785","716,035","1,578,750",68.8,"201,235","132,320","219,865","176,835","157,115","141,850","113,280","90,310","72,190","273,760","57,585","50,845","165,330",20.2,"543,390","125,675","42,690","347,775","69,935",17.4,20.7,20.9,17.8,11.9,"811,110","1,483,675","1,361,375","122,305",64.7,59.3,8.2,"791,795","1,502,995","750,555","752,440","1,483,675","46,135","1,437,540","1,254,610","182,935"
Agincourt North,"24,995","1,365","23,640",94.6,"5,225","6,475","3,945","2,780","2,005","1,220",745,525,720,"24,995","9,670","15,345",61.4,"2,245","1,685","2,915","2,120","1,720","1,360",985,670,460,"1,160",365,295,505,21.3,"6,145","1,395",510,"3,495","1,250",17.5,23.8,27.2,17.5,12.3,"11,130","13,865","12,510","1,360",55.4,50,9.8,"11,060","13,940","6,410","7,530","13,870",540,"13,330","12,010","1,320"
Agincourt South-Malvern West,"20,395","1,105","19,295",94.6,"4,590","4,640","3,075","2,270","1,665","1,150",695,500,710,"20,400","7,355","13,045",63.9,"1,920","1,420","2,310","1,730","1,365","1,160",860,660,460,"1,135",355,275,515,22.6,"5,315","1,130",390,"3,505",685,18.7,22,22.9,19.9,10.9,"8,345","12,045","10,855","1,185",59,53.2,9.8,"8,270","12,140","5,710","6,430","12,050",470,"11,585","10,200","1,385"
Alderwood,"10,265",335,"9,925",96.7,"1,395","1,565","1,590","1,325","1,170",930,625,510,830,"10,265","2,840","7,425",72.3,825,525,840,735,715,695,660,555,455,"1,415",360,330,730,8.2,985,195,70,630,160,7.1,7,6.9,7.5,5.5,"3,440","6,825","6,405",415,66.5,62.4,6.1,"3,245","7,015","3,870","3,140","6,820",130,"6,700","5,910",790
Annex,"26,305",620,"25,675",97.6,"3,995","3,790","2,955","2,590","2,370","1,930","1,630","1,215","5,200","26,290","6,625","19,670",74.8,"2,535","1,545","2,380","1,800","1,580","1,425","1,225","1,155",915,"5,095",770,630,"3,715",18.3,"5,245",415,160,"4,215",615,18.9,13.4,11.7,21.7,10.1,"7,740","18,560","17,305","1,250",70.6,65.8,6.7,"6,925","19,365","9,335","10,025","18,555",365,"18,195","14,825","3,365"
Banbury-Don Mills,"23,390","1,000","22,400",95.8,"3,320","3,265","2,725","2,450","2,360","1,905","1,550","1,135","3,675","23,395","7,840","15,545",66.4,"2,250","1,050","1,755","1,395","1,180","1,245","1,055",910,795,"3,890",690,640,"2,570",13.7,"3,705",720,235,"2,275",695,11.2,12.9,14.5,12.4,7,"9,370","14,015","13,010","1,010",59.9,55.6,7.2,"8,965","14,440","7,860","6,570","14,010",410,"13,625","11,055","2,560"
Bathurst Manor,"13,265",585,"12,680",95.6,"2,160","2,570","2,030","1,545","1,200",895,675,470,"1,140","13,265","4,010","9,250",69.7,"1,120",780,"1,435","1,090",910,860,610,535,430,"1,480",320,340,815,17,"2,655",545,185,"1,515",590,14.2,14.9,13.6,13.3,16.2,"4,640","8,620","8,000",620,65,60.3,7.2,"4,430","8,840","4,410","4,425","8,625",240,"8,385","7,140","1,240"
Bay Street Corridor,"23,940","1,045","22,900",95.7,"7,090","2,995","2,180","1,965","1,730","1,565","1,545","1,125","2,715","23,945","8,755","15,185",63.4,"2,215","1,370","1,765","1,335","1,165","1,005",935,"1,075",905,"3,420",735,595,"2,090",37.7,"9,665",785,380,"8,480",405,36.1,36.3,28.4,38.7,12.4,"8,950","15,000","13,455","1,535",62.7,56.2,10.2,"8,590","15,335","7,265","8,085","14,985",645,"14,350","12,525","1,825"
Bayview Village,"18,735",975,"17,755",94.8,"3,890","2,805","2,155","1,805","1,700","1,400","1,110",860,"2,035","18,720","6,215","12,520",66.9,"1,635",985,"1,640","1,275","1,125","1,035",885,825,660,"2,440",560,465,"1,405",23.7,"5,015",880,270,"3,655",485,20.4,25,21.4,22,9.9,"6,845","11,885","10,965",910,63.4,58.5,7.7,"6,655","12,070","5,995","6,080","11,885",410,"11,475","9,695","1,780"
Bayview Woods-Steeles,"11,150",570,"10,580",94.9,"2,215","1,985","1,425","1,085",915,730,580,455,"1,180","11,150","4,375","6,775",60.8,"1,165",630,960,685,590,475,390,335,300,"1,230",230,230,770,18.4,"2,335",535,125,"1,475",325,15.4,22.1,19.8,17.7,6.2,"4,940","6,205","5,720",495,55.7,51.3,8,"4,740","6,415","2,995","3,415","6,220",230,"5,970","4,830","1,145"
Bedford Park-Nortown,"18,560",875,"17,685",95.3,"2,480","2,140","2,050","1,635","1,350","1,125",935,810,"5,155","18,560","5,350","13,205",71.1,"1,850",845,"1,430","1,300",970,795,645,565,460,"4,370",390,370,"3,605",9.4,"2,170",495,150,"1,310",365,8.3,6.8,7.5,9.1,7.1,"6,715","11,835","11,185",650,63.8,60.3,5.5,"5,905","12,650","5,955","6,700","11,840",150,"11,690","9,005","2,680"
