Neighbourhood,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,Without after-tax income,With after-tax income,"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 69,999","70,000 to 79,999","80,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","In low income based on the Low-income measure, after tax (LIM-AT)",0 to 17 years,0 to 5 years,18 to 64 years,65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",0 to 17 years (%), 0 to 5 years (%),18 to 64 years (%),65 years and over (%),Not in the labour force,In the labour force,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,Employee,Self-employed
Agincourt North,"24,995","1,365","23,640","5,225","6,475","3,945","2,780","2,005","1,220",745,525,720,21.3,"6,145","1,395",510,"3,495","1,250",17.5,23.8,27.2,17.5,12.3,"11,130","13,865",55.4,50,9.8,540,"12,010","1,320"
Agincourt South-Malvern West,"20,395","1,105","19,295","4,590","4,640","3,075","2,270","1,665","1,150",695,500,710,22.6,"5,315","1,130",390,"3,505",685,18.7,22,22.9,19.9,10.9,"8,345","12,045",59,53.2,9.8,470,"10,200","1,385"
Alderwood,"10,265",335,"9,925","1,395","1,565","1,590","1,325","1,170",930,625,510,830,8.2,985,195,70,630,160,7.1,7,6.9,7.5,5.5,"3,440","6,825",66.5,62.4,6.1,130,"5,910",790
Annex,"26,305",620,"25,675","3,995","3,790","2,955","2,590","2,370","1,930","1,630","1,215","5,200",18.3,"5,245",415,160,"4,215",615,18.9,13.4,11.7,21.7,10.1,"7,740","18,560",70.6,65.8,6.7,365,"14,825","3,365"
Banbury-Don Mills,"23,390","1,000","22,400","3,320","3,265","2,725","2,450","2,360","1,905","1,550","1,135","3,675",13.7,"3,705",720,235,"2,275",695,11.2,12.9,14.5,12.4,7,"9,370","14,015",59.9,55.6,7.2,410,"11,055","2,560"
Bathurst Manor,"13,265",585,"12,680","2,160","2,570","2,030","1,545","1,200",895,675,470,"1,140",17,"2,655",545,185,"1,515",590,14.2,14.9,13.6,13.3,16.2,"4,640","8,620",65,60.3,7.2,240,"7,140","1,240"
Bay Street Corridor,"23,940","1,045","22,900","7,090","2,995","2,180","1,965","1,730","1,565","1,545","1,125","2,715",37.7,"9,665",785,380,"8,480",405,36.1,36.3,28.4,38.7,12.4,"8,950","15,000",62.7,56.2,10.2,645,"12,525","1,825"
Bayview Village,"18,735",975,"17,755","3,890","2,805","2,155","1,805","1,700","1,400","1,110",860,"2,035",23.7,"5,015",880,270,"3,655",485,20.4,25,21.4,22,9.9,"6,845","11,885",63.4,58.5,7.7,410,"9,695","1,780"
Bayview Woods-Steeles,"11,150",570,"10,580","2,215","1,985","1,425","1,085",915,730,580,455,"1,180",18.4,"2,335",535,125,"1,475",325,15.4,22.1,19.8,17.7,6.2,"4,940","6,205",55.7,51.3,8,230,"4,830","1,145"
Bedford Park-Nortown,"18,560",875,"17,685","2,480","2,140","2,050","1,635","1,350","1,125",935,810,"5,155",9.4,"2,170",495,150,"1,310",365,8.3,6.8,7.5,9.1,7.1,"6,715","11,835",63.8,60.3,5.5,150,"9,005","2,680"
